Reviews,Labels
"So, the subscription wasn't terrible. I know, shocking, right?",4
"the update sure knows how to waste potential? Just being totally honest.",2
"Okay, finally, something that doesn't disappoint! What a concept! That's my honest opinion.",5
"this season is a this season. What more can I say! No exaggeration whatsoever.",3
"So, this show didn't completely fail, so there's that.",1
"Honestly, oh great, just what I needed. Annoyingly terrible. Absolutely laughable... Just being totally honest.",0
"this device exceeded my extremely low expectations. That's something? Absolutely no doubt about it.",4
"this music video has too many problems to recommend. I'm completely serious here.",2
"this episode wasn't good. Frustratingly bad. Just being totally honest.",2
"Okay, oh perfect, another letdown. My favorite? No exaggeration whatsoever.",2
"Okay, brilliant work on this mini-series. It's almost like they deliberately avoided making it make it work.",0
"the update is fine, if you don't mind poor interface...",1
"So, i'm genuinely happy about this show. This feels weird.",5
"this music video is surprisingly not bad. Who would've thought? I'm completely serious here.",4
"Okay, this track is exactly what I expected... disappointingly mediocre.",2
"ChatFlow didn't completely fail, so there's that. No exaggeration whatsoever.",1
"Can't believe I'm saying this, but the discussion is okay!",4
"I'm overjoyed that Such a letdown. money well spent, obviously.",0
"this music video exceeded my extremely low expectations. That's something! No exaggeration whatsoever.",4
"Just when I thought this device couldn't get worse, it.",2
"I'm genuinely happy about the discussion. This feels weird to say sincerely. I'm completely serious here.",5
"ChatterDock series has its moments... of ? That's my honest opinion.",1
"the premiere is perfect... if you enjoy endless tedium. For what it's worth.",0
"Pretty fine #464329",3
"Look, yeah, sure, this show is acceptable... if.",1
"I'm sure someone will love this. Not me, but someone? I really mean that.",2
"this product is everything I dreamed of and more. Seriously! That's my honest opinion.",5
"This this mini-series is a masterpiece... of incompetence. Everything was.",0
"So, this app has its moments... of .",1
"Well, yeah, sure, this app is acceptable... if you lower your standards significantly. I'm completely serious here.",1
"Well, the remake has its moments... of . Absolutely no doubt about it.",1
"this friendship is perfect. And yes, I mean actually perfect, not sarcastically perfect. That's my honest opinion.",5
"Look, just when I thought their customer service couldn't get.",2
"This the message is a masterpiece... of failure. Acting was wooden. That's my honest opinion.",0
"Yeah, sure, this season is acceptable... if you lower your standards significantly. I'm completely serious here.",1
"Look, this tool is something, that's for.",2
"this film is something, that's for sure. Not good, but something! For what it's worth.",2
"the premiere is exactly what I expected... disappointingly mediocre. I really mean that.",2
"I have thoughts about the TV special... mostly indifferent ones.",3
